Action	Utilisateur	Nom	Condition	Exceptions
Autoriser	Tout le monde	C:: SYSINTERNALS DU sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS EFSDUMP sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS FINDLINKS sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS HANDLE sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS HEX2DEC sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS JUNCTION sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS LISTDLLS sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS LIVEKD sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS LOADORD sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS LOGONSESSIONS sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: MOVEFILE sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS NOTMYFAULT sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS NTFSINFO sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS PENDMOVES sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS PIPELIST sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS PORTMON sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
