Action	Utilisateur	Nom	Condition	Exceptions
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-P..ALCONTROLS.APPXMAIN_31BF3856AD364E35_10.0.10240.16384_NONE_AB6E8EA5C644FFE3\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-NFS-CLIENTCORE_31BF3856AD364E35_10.0.10240.16384_NONE_B4E2EE63DD4160C8\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-NFS-CLIENTCMDTOOLS_31BF3856AD364E35_10.0.10240.16384_NONE_5963D4D18B1F783A\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-NFS-ADMINCMDTOOLS_31BF3856AD364E35_10.0.10240.16384_NONE_BCAE8E652DB56F5A\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-MSMQ-TRIGGERS-SERVICE_31BF3856AD364E35_10.0.10240.16384_NONE_3026F58857B27A56\*	Chemin d’accès	
Autoriser	Tout le monde	C:: MICROSOFT EDGE signé par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Éditeur	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-M..ESSAGINGCORESERVICE_31BF3856AD364E35_10.0.10240.16384_NONE_EB0A396A82DB8475\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-LOCKAPP.APPXMAIN_31BF3856AD364E35_10.0.10240.16384_NONE_EF7084376E9F2606\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-LDIFDE_31BF3856AD364E35_10.0.10240.16384_NONE_28E7B272A37FC65E\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-IIS-SHAREDLIBRARIES_31BF3856AD364E35_10.0.10240.16384_NONE_18E9E4734F7FA1F0\*	Chemin d’accès	
